PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType,,
6,2026/7/11,3,1,足達,Right,鈴木,Left,1,0,0,Slider,BallCalled,102,,,,
7,2026/7/11,3,2,足達,Right,鈴木,Left,1,1,0,Fastball,InPlay,130,Double,LineDrive,,
8,2026/7/11,4,1,足達,Right,片山,Left,1,0,0,Slider,FoulBallFieldable,107,,Bunt,,
9,2026/7/11,4,2,足達,Right,片山,Left,1,0,1,Slider,BallCalled,106,,,,
10,2026/7/11,4,3,足達,Right,片山,Left,1,1,1,Slider,StrikeCalled,106,,,,
11,2026/7/11,4,4,足達,Right,片山,Left,1,1,2,Fastball,InPlay,133,Out,FlyBall,,
12,2026/7/11,5,1,足達,Right,石松,Left,2,0,0,Slider,FoulBallFieldable,111,,,,
13,2026/7/11,5,2,足達,Right,石松,Left,2,0,1,Fastball,BallCalled,134,,,,
14,2026/7/11,5,3,足達,Right,石松,Left,2,1,1,Fastball,FoulBallFieldable,133,,,,
15,2026/7/11,5,4,足達,Right,石松,Left,2,1,2,ChangeUp,InPlay,118,Out,FlyBall,,
1,2026/7/11,1,1,千葉,Left,佐藤拓,Right,0,0,0,ChangeUp,BallCalled,113,,,,
2,2026/7/11,1,2,千葉,Left,佐藤拓,Right,0,1,0,ChangeUp,InPlay,114,Out,GroundBall,,
3,2026/7/11,2,1,千葉,Left,原口,Right,1,0,0,ChangeUp,BallCalled,116,,,,
4,2026/7/11,2,2,千葉,Left,原口,Right,1,1,0,ChangeUp,FoulBallFieldable,113,,,,
5,2026/7/11,2,3,千葉,Left,原口,Right,1,1,1,Curveball,InPlay,96,Out,FlyBall,,
6,2026/7/11,3,1,千葉,Left,笠尾,Right,2,0,0,Fastball,BallCalled,,,,,
7,2026/7/11,3,2,千葉,Left,笠尾,Right,2,1,0,Fastball,InPlay,,Out,LineDrive,,
1,2026/7/11,1,1,足達,Right,風見,Right,0,0,0,Fastball,InPlay,125,Out,FlyBall,,
2,2026/7/11,2,1,足達,Right,野田,Left,1,0,0,Fastball,FoulBallFieldable,131,,,,
3,2026/7/11,2,2,足達,Right,野田,Left,1,0,1,Fastball,StrikeCalled,133,,,,
4,2026/7/11,2,3,足達,Right,野田,Left,1,0,2,ChangeUp,BallCalled,121,,,,
5,2026/7/11,2,4,足達,Right,野田,Left,1,1,2,Fastball,BallCalled,130,,,,
6,2026/7/11,2,5,足達,Right,野田,Left,1,2,2,Slider,InPlay,107,Out,GroundBall,,
7,2026/7/11,3,1,足達,Right,小室,Right,2,0,0,Cutter,FoulBallFieldable,124,,,,
8,2026/7/11,3,2,足達,Right,小室,Right,2,0,1,Slider,BallCalled,109,,,,
9,2026/7/11,3,3,足達,Right,小室,Right,2,1,1,Slider,InPlay,105,Out,FlyBall,,
1,2026/7/11,1,1,千葉,Left,高崎,Right,0,0,0,Curveball,BallCalled,86,,,,
2,2026/7/11,1,2,千葉,Left,高崎,Right,0,1,0,Fastball,InPlay,112,Double,FlyBall,,
3,2026/7/11,2,1,千葉,Left,奈良,Right,0,0,0,ChangeUp,InPlay,110,Sacrifice,Bunt,,
4,2026/7/11,3,1,千葉,Left,新井,Left,1,0,0,Curveball,StrikeSwinging,99,,,,
5,2026/7/11,3,2,千葉,Left,新井,Left,1,0,1,Fastball,StrikeSwinging,117,,,,
6,2026/7/11,3,3,千葉,Left,新井,Left,1,0,2,Slider,BallCalled,114,,,,
7,2026/7/11,3,4,千葉,Left,新井,Left,1,1,2,Slider,BallCalled,112,,,,
8,2026/7/11,3,5,千葉,Left,新井,Left,1,2,2,Slider,InPlay,105,Double,FlyBall,,
9,2026/7/11,4,1,千葉,Left,古田,Right,1,0,0,Fastball,BallCalled,119,,,,
10,2026/7/11,4,2,千葉,Left,古田,Right,1,1,0,Fastball,InPlay,119,HomeRun,FlyBall,,
11,2026/7/11,5,1,千葉,Left,國光,Left,1,0,0,Slider,StrikeCalled,104,,,,
12,2026/7/11,5,2,千葉,Left,國光,Left,1,0,1,Fastball,StrikeCalled,124,,,,
13,2026/7/11,5,3,千葉,Left,國光,Left,1,0,2,Slider,StrikeSwinging,107,Strikeout,,,
14,2026/7/11,6,1,千葉,Left,豊田,Right,2,0,0,Curveball,BallCalled,95,,,,
15,2026/7/11,6,2,千葉,Left,豊田,Right,2,1,0,Fastball,FoulBallFieldable,119,,,,
16,2026/7/11,6,3,千葉,Left,豊田,Right,2,1,1,Fastball,FoulBallFieldable,121,,,,
17,2026/7/11,6,4,千葉,Left,豊田,Right,2,1,2,ChangeUp,BallCalled,115,,,,
18,2026/7/11,6,5,千葉,Left,豊田,Right,2,2,2,Fastball,InPlay,118,Out,FlyBall,,
1,2026/7/11,1,1,足達,Right,舟橋,Right,0,0,0,Fastball,BallCalled,121,,,,
2,2026/7/11,1,2,足達,Right,舟橋,Right,0,1,0,Slider,BallCalled,104,,,,
3,2026/7/11,1,3,足達,Right,舟橋,Right,0,2,0,Fastball,StrikeSwinging,128,,,,
4,2026/7/11,1,4,足達,Right,舟橋,Right,0,2,1,Fastball,BallCalled,131,,,,
5,2026/7/11,1,5,足達,Right,舟橋,Right,0,3,1,Fastball,FoulBallFieldable,126,,,,
6,2026/7/11,1,6,足達,Right,舟橋,Right,0,3,2,Fastball,StrikeSwinging,122,Strikeout,,,
7,2026/7/11,2,1,足達,Right,佐藤寛,Left,1,0,0,ChangeUp,StrikeCalled,116,,,,
8,2026/7/11,2,2,足達,Right,佐藤寛,Left,1,0,1,Fastball,InPlay,127,Out,FlyBall,,
9,2026/7/11,3,1,足達,Right,茨木,Left,2,0,0,Fastball,StrikeCalled,,,,,
10,2026/7/11,3,2,足達,Right,茨木,Left,2,0,1,Fastball,BallCalled,131,,,,
11,2026/7/11,3,3,足達,Right,茨木,Left,2,1,1,Fastball,InPlay,132,Single,LineDrive,,
12,2026/7/11,4,1,足達,Right,鈴木,Left,2,0,0,Slider,BallCalled,108,,,,
13,2026/7/11,4,2,足達,Right,鈴木,Left,2,1,0,Cutter,StrikeCalled,120,,,,
14,2026/7/11,4,3,足達,Right,鈴木,Left,2,1,1,Fastball,BallCalled,133,,,,
15,2026/7/11,4,4,足達,Right,鈴木,Left,2,2,1,Cutter,InPlay,117,Out,FlyBall,,
1,2026/7/11,1,1,千葉,Left,佐藤拓,Right,0,0,0,Curveball,StrikeCalled,,,,,
2,2026/7/11,1,2,千葉,Left,佐藤拓,Right,0,0,1,Fastball,FoulBallFieldable,125,,,,
3,2026/7/11,1,3,千葉,Left,佐藤拓,Right,0,0,2,Fastball,BallCalled,121,,,,
4,2026/7/11,1,4,千葉,Left,佐藤拓,Right,0,1,2,Fastball,BallCalled,,,,,
5,2026/7/11,1,5,千葉,Left,佐藤拓,Right,0,2,2,Fastball,InPlay,,Double,FlyBall,,
6,2026/7/11,2,1,千葉,Left,原口,Right,0,0,0,Curveball,BallCalled,100,,,,
7,2026/7/11,2,2,千葉,Left,原口,Right,0,1,0,Fastball,InPlay,116,Sacrifice,GroundBall,,
8,2026/7/11,3,1,千葉,Left,笠尾,Right,1,0,0,Slider,InPlay,105,Single,LineDrive,,
9,2026/7/11,4,1,千葉,Left,高崎,Right,1,0,0,Fastball,StrikeCalled,119,,,,
10,2026/7/11,4,2,千葉,Left,高崎,Right,1,0,1,Fastball,BallCalled,122,,,,
11,2026/7/11,4,3,千葉,Left,高崎,Right,1,1,1,Slider,StrikeCalled,103,,,,
12,2026/7/11,4,4,千葉,Left,高崎,Right,1,1,2,Slider,BallCalled,114,,,,
13,2026/7/11,4,5,千葉,Left,高崎,Right,1,2,2,Fastball,BallCalled,123,,,,
14,2026/7/11,4,6,千葉,Left,高崎,Right,1,3,2,Fastball,StrikeCalled,123,Strikeout,,,
15,2026/7/11,5,1,千葉,Left,奈良,Right,2,0,0,Curveball,BallCalled,89,,,,
16,2026/7/11,5,2,千葉,Left,奈良,Right,2,1,0,Fastball,FoulBallFieldable,118,,,,
17,2026/7/11,5,3,千葉,Left,奈良,Right,2,1,1,Slider,BallCalled,101,,,,
18,2026/7/11,5,4,千葉,Left,奈良,Right,2,2,1,Fastball,InPlay,114,Single,LineDrive,,
1,2026/7/11,1,1,足達,Right,片山,Left,0,0,0,Slider,InPlay,,Out,FlyBall,,
2,2026/7/11,2,1,足達,Right,石松,Left,1,0,0,Slider,StrikeCalled,107,,,,
3,2026/7/11,2,2,足達,Right,石松,Left,1,0,1,Cutter,BallCalled,118,,,,
4,2026/7/11,2,3,足達,Right,石松,Left,1,1,1,Slider,BallCalled,108,,,,
5,2026/7/11,2,4,足達,Right,石松,Left,1,2,1,Fastball,BallCalled,,,,,
6,2026/7/11,2,5,足達,Right,石松,Left,1,3,1,Fastball,BallCalled,127,Walk,,,
7,2026/7/11,3,1,足達,Right,風見,Right,1,0,0,Fastball,BallCalled,130,,,,
8,2026/7/11,3,2,足達,Right,風見,Right,1,1,0,Fastball,BallCalled,127,,,,
9,2026/7/11,3,3,足達,Right,風見,Right,1,2,0,Fastball,InPlay,128,Out,FlyBall,,
10,2026/7/11,4,1,足達,Right,野田,Left,2,0,0,Slider,StrikeCalled,102,,,,
11,2026/7/11,4,2,足達,Right,野田,Left,2,0,1,Slider,InPlay,119,Out,GroundBall,,
1,2026/7/11,1,1,千葉,Left,新井,Left,0,0,0,Curveball,BallCalled,100,,,,
2,2026/7/11,1,2,千葉,Left,新井,Left,0,1,0,Slider,StrikeCalled,105,,,,
3,2026/7/11,1,3,千葉,Left,新井,Left,0,1,1,,BallCalled,,,,,
4,2026/7/11,1,4,千葉,Left,新井,Left,0,2,1,Fastball,InPlay,122,Single,LineDrive,,
5,2026/7/11,2,1,千葉,Left,古田,Right,0,0,0,Fastball,BallCalled,119,,,,
6,2026/7/11,2,2,千葉,Left,古田,Right,0,1,0,Fastball,StrikeCalled,118,,,,
7,2026/7/11,2,3,千葉,Left,古田,Right,0,1,1,Fastball,InPlay,118,Single,LineDrive,,
8,2026/7/11,3,1,千葉,Left,國光,Left,0,0,0,Curveball,StrikeCalled,101,,,,
9,2026/7/11,3,2,千葉,Left,國光,Left,0,0,1,Fastball,InPlay,124,Out,GroundBall,,
10,2026/7/11,4,1,千葉,Left,豊田,Right,1,0,0,Slider,BallCalled,104,,,,
11,2026/7/11,4,2,千葉,Left,豊田,Right,1,1,0,Fastball,BallCalled,118,,,,
12,2026/7/11,4,3,千葉,Left,豊田,Right,1,2,0,Curveball,StrikeCalled,98,,,,
13,2026/7/11,4,4,千葉,Left,豊田,Right,1,2,1,Fastball,FoulBallFieldable,123,,,,
14,2026/7/11,4,5,千葉,Left,豊田,Right,1,2,2,Fastball,BallCalled,,,,,
15,2026/7/11,4,6,千葉,Left,豊田,Right,1,3,2,Fastball,BallCalled,,Walk,,,
16,2026/7/11,5,1,千葉,Left,佐藤拓,Right,1,0,0,Slider,BallCalled,,,,,
17,2026/7/11,5,2,千葉,Left,佐藤拓,Right,1,1,0,Fastball,BallCalled,123,,,,
18,2026/7/11,5,3,千葉,Left,佐藤拓,Right,1,2,0,Fastball,StrikeCalled,121,,,,
19,2026/7/11,5,4,千葉,Left,佐藤拓,Right,1,2,1,Fastball,InPlay,,Out,GroundBall,,
1,2026/7/11,1,1,足達,Right,小室,Right,0,0,0,Cutter,BallCalled,112,,,,
2,2026/7/11,1,2,足達,Right,小室,Right,0,1,0,Fastball,StrikeCalled,127,,,,
3,2026/7/11,1,3,足達,Right,小室,Right,0,1,1,Fastball,FoulBallFieldable,118,,,,
4,2026/7/11,1,4,足達,Right,小室,Right,0,1,2,Slider,BallCalled,108,,,,
5,2026/7/11,1,5,足達,Right,小室,Right,0,2,2,Slider,BallCalled,106,,,,
6,2026/7/11,1,6,足達,Right,小室,Right,0,3,2,Fastball,InPlay,,Out,GroundBall,,
7,2026/7/11,2,1,足達,Right,舟橋,Right,1,0,0,Cutter,FoulBallFieldable,111,,,,
8,2026/7/11,2,2,足達,Right,舟橋,Right,1,0,1,Fastball,BallCalled,,,,,
9,2026/7/11,2,3,足達,Right,舟橋,Right,1,1,1,Slider,InPlay,97,Out,FlyBall,,
10,2026/7/11,3,1,足達,Right,佐藤寛,Left,2,0,0,Fastball,InPlay,122,Single,GroundBall,,
11,2026/7/11,4,1,足達,Right,茨木,Left,2,0,0,Curveball,StrikeCalled,104,,,,
12,2026/7/11,4,2,足達,Right,茨木,Left,2,0,1,Slider,BallCalled,103,,,,
13,2026/7/11,4,3,足達,Right,茨木,Left,2,1,1,Cutter,StrikeCalled,115,,,,
14,2026/7/11,4,4,足達,Right,茨木,Left,2,1,2,ChangeUp,BallCalled,108,,,,
15,2026/7/11,4,5,足達,Right,茨木,Left,2,2,2,Cutter,BallCalled,111,,,,
16,2026/7/11,4,6,足達,Right,茨木,Left,2,3,2,Fastball,InPlay,130,Triple,FlyBall,,
17,2026/7/11,5,1,足達,Right,鈴木,Left,2,0,0,ChangeUp,BallCalled,,,,,
18,2026/7/11,5,2,足達,Right,鈴木,Left,2,1,0,Fastball,StrikeCalled,121,,,,
19,2026/7/11,5,3,足達,Right,鈴木,Left,2,1,1,Fastball,BallCalled,131,,,,
20,2026/7/11,5,4,足達,Right,鈴木,Left,2,2,1,Slider,BallCalled,105,,,,
21,2026/7/11,5,5,足達,Right,鈴木,Left,2,3,1,Fastball,FoulBallFieldable,123,,,,
22,2026/7/11,5,6,足達,Right,鈴木,Left,2,3,2,Fastball,BallCalled,129,Walk,,,
23,2026/7/11,6,1,足達,Right,片山,Left,2,0,0,Fastball,StrikeSwinging,125,,,,
24,2026/7/11,6,2,足達,Right,片山,Left,2,0,1,Fastball,FoulBallFieldable,128,,,,
25,2026/7/11,6,3,足達,Right,片山,Left,2,0,2,Slider,BallCalled,106,,,,
26,2026/7/11,6,4,足達,Right,片山,Left,2,1,2,Fastball,InPlay,130,Out,GroundBall,,
1,2026/7/11,1,1,千葉,Left,原口,Right,0,0,0,Curveball,BallCalled,85,,,,
2,2026/7/11,1,2,千葉,Left,原口,Right,0,1,0,Fastball,BallCalled,119,,,,
3,2026/7/11,1,3,千葉,Left,原口,Right,0,2,0,Fastball,BallCalled,120,,,,
4,2026/7/11,1,4,千葉,Left,原口,Right,0,3,0,Fastball,BallCalled,,,,,
5,2026/7/11,1,5,千葉,Left,原口,Right,0,0,0,Fastball,StrikeCalled,,,,,
6,2026/7/11,1,6,千葉,Left,原口,Right,0,0,1,Fastball,InPlay,120,Out,FlyBall,,
7,2026/7/11,2,1,千葉,Left,笠尾,Right,1,0,0,Curveball,InPlay,92,Single,LineDrive,,
8,2026/7/11,3,1,千葉,Left,高崎,Right,1,0,0,Fastball,BallCalled,,,,,
9,2026/7/11,3,2,千葉,Left,高崎,Right,1,1,0,Curveball,BallCalled,92,,,,
10,2026/7/11,3,3,千葉,Left,高崎,Right,1,2,0,Slider,BallCalled,101,,,,
11,2026/7/11,3,4,千葉,Left,高崎,Right,1,3,0,Fastball,BallCalled,,Walk,,,
12,2026/7/11,4,1,千葉,Left,奈良,Right,1,0,0,Curveball,FoulBallFieldable,,,,,
13,2026/7/11,4,2,千葉,Left,奈良,Right,1,0,1,ChangeUp,FoulBallFieldable,115,,,,
14,2026/7/11,4,3,千葉,Left,奈良,Right,1,0,2,Fastball,BallCalled,,,,,
15,2026/7/11,4,4,千葉,Left,奈良,Right,1,1,2,ChangeUp,FoulBallFieldable,105,,,,
16,2026/7/11,4,5,千葉,Left,奈良,Right,1,1,2,Fastball,StrikeSwinging,124,Strikeout,,,
17,2026/7/11,5,1,千葉,Left,新井,Left,2,0,0,Fastball,StrikeCalled,125,,,,
18,2026/7/11,5,2,千葉,Left,新井,Left,2,0,1,Slider,InPlay,104,Double,LineDrive,,
19,2026/7/11,6,1,千葉,Left,古田,Right,2,0,0,Fastball,FoulBallFieldable,120,,,,
20,2026/7/11,6,2,千葉,Left,古田,Right,2,0,1,Slider,StrikeCalled,106,,,,
21,2026/7/11,6,3,千葉,Left,古田,Right,2,0,2,Fastball,StrikeSwinging,119,Strikeout,,,
1,2026/7/11,1,1,足達,Right,石松,Left,0,0,0,Slider,BallCalled,98,,,,
2,2026/7/11,1,2,足達,Right,石松,Left,0,1,0,Slider,FoulBallFieldable,101,,,,
3,2026/7/11,1,3,足達,Right,石松,Left,0,1,1,ChangeUp,BallCalled,105,,,,
4,2026/7/11,1,4,足達,Right,石松,Left,0,2,1,Fastball,InPlay,127,Out,GroundBall,,
5,2026/7/11,2,1,足達,Right,風見,Right,1,0,0,Fastball,InPlay,130,Out,GroundBall,,
6,2026/7/11,3,1,足達,Right,野田,Left,2,0,0,Fastball,StrikeCalled,131,,,,
7,2026/7/11,3,2,足達,Right,野田,Left,2,0,1,Fastball,StrikeCalled,130,,,,
8,2026/7/11,3,3,足達,Right,野田,Left,2,0,2,Fastball,BallCalled,131,,,,
9,2026/7/11,3,4,足達,Right,野田,Left,2,1,2,Slider,StrikeCalled,105,Strikeout,,,
10,2026/7/11,1,1,足達,Right,,,0,0,0,,,,,,,
11,2026/7/11,1,2,足達,Right,,,0,0,0,,,,,,,
12,2026/7/11,1,3,足達,Right,,,0,0,0,,,,,,,
13,2026/7/11,1,4,足達,Right,,,0,0,0,,,,,,,
14,2026/7/11,1,5,足達,Right,,,0,0,0,,,,,,,
15,2026/7/11,1,6,足達,Right,,,0,0,0,,,,,,,
16,2026/7/11,1,7,足達,Right,,,0,0,0,,,,,,,
17,2026/7/11,1,8,足達,Right,,,0,0,0,,,,,,,
18,2026/7/11,1,9,足達,Right,,,0,0,0,,,,,,,
19,2026/7/11,1,10,足達,Right,,,0,0,0,,,,,,,
20,2026/7/11,1,11,足達,Right,,,0,0,0,,,,,,,
21,2026/7/11,1,12,足達,Right,,,0,0,0,,,,,,,
